place;COMMUNE;prix;date_end;date_start;Etoiles
1 Chemin du Port;;CUISERY;117;28/10/2022;18/10/2022;1
Lieu-dit la guirlande Route des Cabanes;;FLEURY;270;23/10/2019;14/10/2019;3
avenue de la jonque;;GRUISSAN;165;27/10/2022;20/10/2022;2
Château du Breuil;;GARANCIÈRES;151;17/04/2022;11/04/2022;4
Lieu-Dit larise;;SALIGOS;248;01/05/2023;21/04/2023;1
383 rue maurice pierre;;BIDART;63;16/11/2022;08/11/2022;4
6 rue du Boutonnier;;BANNES;156;19/08/2022;11/08/2022;5
Route de Planzolles;;LABLACHÈRE;72;30/05/2023;25/05/2023;1
Lieu-dit les rompudes;;SÉRIGNAN;96;06/09/2024;28/08/2024;4
296 avenue raimu;;LE PRADET;225;08/05/2024;03/05/2024;5
Hiriberria;;ITXASSOU;87;16/11/2022;09/11/2022;4
314 chemin de Terrimas;;LA CRAU;113;17/08/2021;10/08/2021;5
1900 Route Départementale 4;;FRÉJUS;219;28/06/2021;21/06/2021;1
323 route du littoral;;GRIMAUD;86;09/11/2022;04/11/2022;1
Chemin des Roseaux;;BISCARROSSE;182;05/07/2021;30/06/2021;3
Derrière la maison 18 Rue de Beaumetz;;RECLINGHEM;282;14/02/2023;06/02/2023;1
2 av des vacances;;FRONTIGNAN PLAGE;234;23/05/2024;16/05/2024;3
Chemin d'Hortes;;BESSAN;96;03/05/2022;25/04/2022;2
77 Chemin du Deroc;;COMPS-SUR-ARTUBY;132;25/04/2024;19/04/2024;5
5 avenue de la galaxie;;ARCACHON;288;01/12/2022;24/11/2022;1
ROUTE DE RADIA;;ARS-EN-RÉ;287;25/10/2023;17/10/2023;1
2 Le Mottay;;BAGUER-PICAN;180;04/11/2022;26/10/2022;2
Boulevard Rodolphe de Turenne;;BEAULIEU-SUR-DORDOGNE;214;02/06/2023;24/05/2023;3
Route des Arcs;;BOURG-SAINT-MAURICE;294;15/10/2023;09/10/2023;3
route des moulins;;BOZEL;66;04/07/2023;26/06/2023;4
Le Val Séry;;MOYAUX;276;04/05/2022;28/04/2022;4
champagny le haut;;CHAMPAGNY-EN-VANOISE;215;03/10/2024;23/09/2024;5
Route de la Flotte;;SAINTE-MARIE-DE-RÉ;208;02/11/2021;26/10/2021;1
Les Cabannes;;LES CABANNES;164;15/07/2022;05/07/2022;5
Quartier d'Espeluche;;DIEULEFIT;278;27/11/2022;18/11/2022;5
2465 Chemin vie de l'étraz;;DIVONNE-LES-BAINS;213;16/08/2022;11/08/2022;2
69 avenue du Bois d'Isis;;DOUARNENEZ;155;12/10/2021;05/10/2021;2
Route de Mont Louis;;FONT-ROMEU-ODEILLO-VIA;227;07/08/2023;31/07/2023;1
rue Michelet;;FONTVIEILLE;67;03/08/2023;24/07/2023;4
2 gademont;;GRANGES-SUR-VOLOGNE;148;03/11/2022;24/10/2022;1
La Bouldoire;;LES VIGNES;228;30/07/2023;20/07/2023;3
Quartier de Chasteuil;;CASTELLANE;90;23/10/2021;14/10/2021;5
l'iscle du rosier;;VAL-DES-PRÉS;214;05/09/2023;30/08/2023;5
1820 Route de Janas;;LA SEYNE-SUR-MER;267;14/07/2022;04/07/2022;1
3 rue de la Plage;;OUNANS;142;04/10/2021;29/09/2021;1
Domaine de Bombannes;;CARCANS;291;20/10/2021;11/10/2021;1
Lac de L'uby;;CAZAUBON;139;03/12/2022;24/11/2022;3
Lieu-Dit LE FEIN;;SAINT-VINCENT-LES-FORTS;277;16/10/2023;11/10/2023;1
Sillé Plage;;SILLÉ-LE-GUILLAUME;296;25/07/2022;19/07/2022;2
Lac Rive Ouest;;SAINT-ALBAN-DE-MONTBEL;150;17/11/2022;07/11/2022;2
450 route de Léon;;SAINT-MICHEL-ESCALUS;251;12/10/2021;06/10/2021;1
Le Moulin;;SAINT-MARTIN-D'ARDÈCHE;88;19/10/2021;12/10/2021;3
11 rue Roger Brun;;BRACIEUX;263;27/07/2022;19/07/2022;5
130 rue du camping;;SAINT-PIERRE-EN-PORT;170;18/11/2022;09/11/2022;4
2 Route de Volnay;;MEURSAULT;157;25/07/2023;19/07/2023;3
455 avenue de l'Aigoual;;MILLAU;118;21/10/2021;13/10/2021;5
23 allée des sableaux;;NOIRMOUTIER-EN-L'ÎLE;267;29/07/2023;24/07/2023;5
9 impasse de l'Ecuissière;;DOLUS-D'OLÉRON;193;03/07/2023;27/06/2023;5
11 avenue des Bris;;SAINT-TROJAN-LES-BAINS;148;09/10/2022;29/09/2022;1
5900 route du Grand Bois;;TUPIN-ET-SEMONS;256;10/08/2024;31/07/2024;1
Route du Château d'eau;;RAMBOUILLET;280;17/07/2022;11/07/2022;3
Lac de Rillé;;RILLÉ;136;30/05/2022;23/05/2022;1
Route de Gravenoire;;ROYAT;287;27/11/2022;18/11/2022;5
route de la croix d'Allon;;SARLAT-LA-CANÉDA;234;16/05/2023;10/05/2023;2
1 chemin Chantepie;;SAUMUR;66;18/10/2023;13/10/2023;2
étang de Badouleau;;SENONCHES;293;20/06/2024;10/06/2024;4
Route Départementale 217;;VAGNAS;176;20/10/2021;14/10/2021;2
Chemin des Chambonnettes;;VALLOUISE;286;09/09/2023;30/08/2023;5
FAUQUIE HAUT;;SAINT-ÉTIENNE-DE-VILLERÉAL;267;05/08/2024;31/07/2024;3
31 rue Berthelot;;VERSAILLES;155;19/07/2022;11/07/2022;1
Rue du 8 Mai 1945;;ARNAY-LE-DUC;148;20/08/2022;11/08/2022;1
Route De La Petite Beauce;;SAINT-CHÉRON;271;01/11/2023;23/10/2023;3
Allée des Pêcheurs;;VIAS;60;18/07/2022;11/07/2022;3
3030 route de St Engrace;;SAINTE-ENGRÂCE;78;23/07/2024;17/07/2024;4
Vallée de l'Ibie;;LAGORCE;175;06/07/2022;01/07/2022;2
CHEMIN DES DOUVES 56270;;PLOEMEUR;166;22/06/2024;14/06/2024;5
Avenue de Biarritz;;BIDART;223;07/11/2021;02/11/2021;3
181 Chemin de Médan;;TRIEL-SUR-SEINE;268;29/11/2022;21/11/2022;1
19 avenue du Roussillon;;SAILLAGOUSE;163;03/10/2022;23/09/2022;1
Base De Loisirs Iloa;;THIERS;168;11/05/2023;02/05/2023;5
21 rue de Réville;;BARFLEUR;247;02/10/2022;27/09/2022;4
7 chemin du Lac;;ARQUES;161;10/08/2021;03/08/2021;1
9 Avenue Pierre Voyer;;MARENNES;142;11/08/2022;05/08/2022;2
305 route des Plages;;SAINT-JEAN-DE-LUZ;141;04/06/2022;25/05/2022;2
370 avenue Charles de Gaulle;;BEAUREPAIRE;204;25/10/2024;16/10/2024;3
6 rue de l'abreuvoir;;LUNERY;88;14/09/2023;06/09/2023;4
place Pitet;;NEUFCHÂTEAU;292;10/08/2023;02/08/2023;4
28 rue du Herrenhaus;;LE HOHWALD;248;22/12/2021;17/12/2021;4
1300 route du lac;;LA TERRASSE;147;15/07/2024;05/07/2024;3
Route de Vibraye;;LAVARÉ;240;14/07/2021;09/07/2021;5
route de chârost;;VILLENEUVE-SUR-CHER;276;12/09/2023;06/09/2023;3
410 chemin du Vas;;AUBIGNAN;193;07/07/2021;28/06/2021;1
50 avenue du Barège;;ESQUIÈZE-SÈRE;296;10/10/2021;04/10/2021;5
495 route de Fox-Amphoux;;AUPS;237;08/07/2022;30/06/2022;1
1737 route de la Madrague;;HYÈRES;237;02/07/2022;27/06/2022;4
Avenue Christophe Colomb;;CALVI;64;02/11/2021;27/10/2021;4
4 chemin de la rampée;;BERCK;108;29/05/2023;24/05/2023;5
Quartier de la Coustace;;PRADONS;289;21/10/2022;11/10/2022;4
Base de Loisirs de Jablines Annet;;JABLINES;85;21/10/2022;11/10/2022;3
Route de la Plage;;DOUSSARD;67;15/06/2022;08/06/2022;2
Route Départementale 900;;SALSES-LE-CHÂTEAU;246;26/12/2021;17/12/2021;3
Boulevard Barrier;;AIX-LES-BAINS;133;17/05/2021;11/05/2021;1
10 rue Charles Voyeux;;SERAUCOURT-LE-GRAND;234;29/11/2022;21/11/2022;3
Avenue de la Source;;SAINT-JEAN-DE-LUZ;264;29/10/2021;20/10/2021;2
27 route de Lannemezan;;ARREAU;254;05/05/2022;28/04/2022;3
Borciriette;;SAINT-ÉTIENNE-DE-BAÏGORRY;201;05/11/2022;28/10/2022;2
1307 rue Royale;;VION;124;19/06/2022;13/06/2022;5
Les Cerclières;;SAINT-JULIEN-DE-LA-NEF;243;29/07/2022;22/07/2022;4
Isle De La Serre;;PORCIEU-AMBLAGNIEU;245;20/10/2022;11/10/2022;3
Avenue de la Loire;;MONTSOREAU;170;03/10/2021;28/09/2021;2
115 chemin duhartia;;SAINT-JEAN-DE-LUZ;232;08/10/2022;03/10/2022;3
Le Village;;LARRAU;292;03/05/2023;24/04/2023;3
83 rue de conseillé;;TARNOS;132;14/06/2023;08/06/2023;4
15 chemin de l'étang de Noirrupt;;LE THOLY;170;25/09/2022;20/09/2022;5
875 Route de la Corniche;;URRUGNE;289;04/08/2022;27/07/2022;3
route des plages;;SAINT-FLORENT;182;26/12/2023;20/12/2023;3
Rue Robert Baltié;;TRÉVOUX;108;01/06/2023;26/05/2023;2
26 Lieu-dit Squividan;;TREFFIAGAT;108;08/08/2022;29/07/2022;4
17 rue du Lac;;MESNIL-SAINT-PÈRE;100;16/10/2021;07/10/2021;2
585 Route d'Auray;;LARMOR-BADEN;117;27/10/2024;21/10/2024;3
Avenue de la Côte d'Argent;;LE TEICH;96;01/10/2021;21/09/2021;3
Tréhervé plage;;AMBON;84;09/07/2023;04/07/2023;5
13 allée des Alouettes;;CARNAC;174;27/05/2022;17/05/2022;3
1 route Saint Laurent;;LA FORÊT-FOUESNANT;152;29/09/2021;20/09/2021;5
Boulevard de l'Atlantique;;ERDEVEN;186;17/08/2022;10/08/2022;3
3 Rue Louis Pasteur;;SCAËR;219;14/07/2023;07/07/2023;2
rue du château de Kerlaudy;;PLOUÉNAN;174;26/11/2022;21/11/2022;3
Route de la Mer;;TRÉGUENNEC;290;16/06/2022;08/06/2022;2
2 Hent Kerscolper;;FOUESNANT;276;14/10/2022;04/10/2022;4
12 route de ménez moor;;LA FORÊT-FOUESNANT;157;28/10/2022;21/10/2022;2
Poullebred Plage;;PLOMODIERN;276;20/04/2023;12/04/2023;5
Route de Plouharnel;;ERDEVEN;217;14/06/2022;08/06/2022;4
La Haie Saint-Julien;;DUN-SUR-MEUSE;258;06/12/2022;29/11/2022;4
4363 route des plages;;RAMATUELLE;67;13/09/2022;08/09/2022;1
17 route du Grand Large;;FOUESNANT;108;01/07/2022;21/06/2022;1
Chemin de Surosne;;LE MESNIL-VILLEMENT;202;01/08/2024;23/07/2024;1
Lieu-Dit Pentaniella;;PIANOTTOLI-CALDARELLO;290;12/02/2025;04/02/2025;5
10 rue du Moulin;;SASSETOT-LE-MAUCONDUIT;239;03/05/2024;25/04/2024;1
120 rue d'Aquitaine;;HOURTIN;254;02/10/2024;23/09/2024;2
La Bernadière;;SAINT-NAZAIRE-SUR-CHARENTE;186;13/10/2021;06/10/2021;1
247 route de Notre-Dame de Monts;;SAINT-JEAN-DE-MONTS;182;26/08/2022;16/08/2022;5
Route du Pont d'Allons;;LA MURE-ARGENS;202;08/07/2022;28/06/2022;3
120 route du Stade;;SAINT-MARTIAL-DE-VALETTE;145;30/06/2022;24/06/2022;4
24 résidence de l'Aiguille Creuse;;LES LOGES;114;08/08/2021;03/08/2021;3
impasse du lac plaisance;;SAINT-HILAIRE-LES-PLACES;215;24/11/2022;16/11/2022;3
Les vergers du bois;;VILLELAURE;167;19/06/2024;10/06/2024;3
La Barrière;;BEAULIEU;199;11/06/2019;04/06/2019;5
Côte Est;;VIAS;251;29/04/2022;19/04/2022;5
61 avenue de port d'Albret;;SOUSTONS;90;13/08/2022;05/08/2022;5
280 chemin de Pampelonne;;SAINT-JULIEN-EN-SAINT-ALBAN;123;15/05/2023;09/05/2023;4
Chemin du Port aux Anes;;LA PLAINE-SUR-MER;281;10/11/2021;02/11/2021;1
52 route de la rive;;NOTRE-DAME-DE-MONTS;101;08/07/2022;28/06/2022;2
13 LIEU-DIT AMBOIS;;MOUILLERON-LE-CAPTIF;257;23/08/2024;14/08/2024;5
Chemin des Berges;;TRÉBAS;104;16/08/2022;10/08/2022;5
397 chemin du Râteau;;SAINT-GEORGES-D'OLÉRON;178;20/07/2022;13/07/2022;2
18 Anse du Brick;;MAUPERTUS-SUR-MER;232;07/09/2021;31/08/2021;1
26 chemin du Cheix;;LA SOUTERRAINE;78;28/05/2023;22/05/2023;2
88 rue de la Baratière;;SONZAY;239;15/10/2021;06/10/2021;2
5541 route des hauts du camp;;LE CASTELLET;101;19/10/2024;09/10/2024;5
75 route du Lac;;PARENTIS-EN-BORN;273;01/08/2021;23/07/2021;5
37 chemin des berges;;ENTRE-DEUX-GUIERS;284;24/10/2023;17/10/2023;5
Quartier la Civelle;;SAINT-LAGER-BRESSAC;292;14/06/2024;06/06/2024;3
Lieu-dit Bourtol;;LA BASTIDE-DE-SÉROU;113;08/07/2021;30/06/2021;2
18 impasse de l'Arrémissant;;GER;146;10/08/2023;01/08/2023;1
133 route des Cols;;BEAUDÉAN;195;19/12/2022;13/12/2022;3
960 Chemin de l'Islon Saint Luc;;CHÂTEAUNEUF-DU-PAPE;109;08/10/2020;29/09/2020;5
529 chemin de l'Artaude;;LE PRADET;132;07/06/2022;02/06/2022;4
Le moulin des prés;;MAROILLES;292;08/06/2019;03/06/2019;4
Lieu-dit l'Avelanède;;ARTIGNOSC-SUR-VERDON;62;04/07/2020;29/06/2020;2
Le Leat;;PRESLE;191;05/09/2021;27/08/2021;4
Route de tizzano;;SARTÈNE;170;20/10/2022;10/10/2022;1
5 quartier L'Ayguelade;;BIELLE;160;29/05/2022;23/05/2022;5
Avenue Saint Saturnin;;VERNET-LES-BAINS;264;03/05/2022;25/04/2022;2
Lieu-dit Le Pont d’Argens;;LES ARCS;99;28/03/2021;23/03/2021;5
Route de saint céré;;CARENNAC;258;09/11/2023;02/11/2023;4
225 Chemin de la Pierre Creusade;;AMBAZAC;192;29/06/2023;19/06/2023;1
331 rue de l'yser;;FORT-MAHON-PLAGE;146;28/07/2022;20/07/2022;1
21 avenue de la Plage;;BRETIGNOLLES-SUR-MER;239;06/06/2022;31/05/2022;2
Route de l'Espiguette;;LE GRAU-DU-ROI;277;18/06/2022;10/06/2022;2
Avenue de la Gare;;LANDRY;289;25/07/2022;19/07/2022;1
22 RUE DE MARQUISE;;AMBLETEUSE;244;21/11/2022;15/11/2022;4
2 carrer Dels VIignals;;ESTAVAR;287;29/06/2021;21/06/2021;1
18 rue du Camping;;CHÂTILLON-SUR-CHER;190;27/06/2022;20/06/2022;4
94 chemin de la coharde;;LA FERRIÈRE;117;12/04/2024;02/04/2024;2
Route de la Tamarissière;;AGDE;189;09/10/2022;03/10/2022;3
100 Route de Semussac;;MESCHERS-SUR-GIRONDE;114;04/10/2022;27/09/2022;4
Route de la Patinoire;;LE GRAND-BORNAND;213;01/10/2021;21/09/2021;5
133 rue de la Gare;;SAINTE-HÉLÈNE-DU-LAC;125;08/06/2023;01/06/2023;2
Tréhervé;;AMBON;259;03/08/2023;25/07/2023;5
15 route Nationale;;WACQUINGHEN;136;26/07/2023;18/07/2023;1
120 boulevard de Lattre de Tassigny;;LA TRANCHE-SUR-MER;203;10/06/2022;31/05/2022;1
lieu-dit la pujade;;ALZONNE;136;26/12/2022;21/12/2022;1
Rue de l'Eglise;;CAHAGNOLLES;287;10/10/2021;05/10/2021;4
691 route du Pont;;PRIAY;261;06/09/2024;28/08/2024;2
La grande lisse;;LAMONZIE-MONTASTRUC;60;22/06/2022;13/06/2022;1
18 route de forest montiers;;SAINT-QUENTIN-EN-TOURMONT;116;21/07/2022;11/07/2022;1
Route de l'Espiguette;;LE GRAU-DU-ROI;137;18/06/2021;09/06/2021;4
Départementale 157;;OLMETO;184;15/06/2022;08/06/2022;5
Rue de keralegan;;TRÉBEURDEN;61;23/10/2022;17/10/2022;4
36 rue de la Gamburie;;PORT-BAIL-SUR-MER;193;23/10/2024;16/10/2024;1
Route Des Cascades;;MONT-DORE;75;16/10/2022;10/10/2022;1
Route du Moulin de Savin;;LE MONASTIER-SUR-GAZEILLE;137;26/10/2023;16/10/2023;2
3 route de l'Estuaire;;SAINT-THOMAS-DE-CONAC;133;09/06/2022;01/06/2022;4
Quai Eole;;PAIMBŒUF;171;15/06/2022;07/06/2022;2
135 rue du moulin;;SALENCY;225;30/01/2021;22/01/2021;4
Route de Jassat;;MUROL;242;02/09/2022;24/08/2022;1
Avenue du Général de Gaulle;;ARGELÈS-SUR-MER;120;06/07/2022;01/07/2022;3
1263 avenue Edgar Faure;;VALRAS-PLAGE;298;09/08/2023;31/07/2023;3
28 impasse presqu'ile de Chevigny;;MOUX-EN-MORVAN;186;05/07/2024;25/06/2024;4
Rue du bois Millet;;LES MOUTIERS-EN-RETZ;63;02/07/2023;26/06/2023;4
Chemin de l'Oudrière;;CONTRES;172;26/06/2022;16/06/2022;2
Route de Taxo;;ARGELÈS-SUR-MER;158;21/10/2021;11/10/2021;5
Route Napoléon;;VOLONNE;272;01/11/2020;27/10/2020;4
Bois de Saint-Ferréol;;MENGLON;289;10/09/2024;05/09/2024;5
165 chemin de combe mejeanne;;LES MAGES;260;10/12/2022;01/12/2022;4
754 le Thoron, les granges;;TALLOIRES;258;05/06/2024;27/05/2024;4
60 route d'Omaha Beach;;SAINTE-HONORINE-DES-PERTES;207;23/05/2023;16/05/2023;5
715 route de chaparon;;LATHUILE;228;24/08/2022;19/08/2022;2
Route de la Plage;;ERDEVEN;87;22/04/2022;15/04/2022;2
20 rue de L'écluse;;CHARMES;219;01/05/2023;26/04/2023;5
36 rue du Pré Neuf;;L'ÎLE-D'OLONNE;131;03/08/2020;29/07/2020;5
Rue du 8 mai;;CHAILLÉ-LES-MARAIS;226;19/08/2022;10/08/2022;4
rue des Gravées;;SANSAIS;109;25/09/2022;20/09/2022;3
62 chemin des molières;;VAULNAVEYS-LE-BAS;185;17/11/2022;07/11/2022;1
route de Cabourg;;MERVILLE-FRANCEVILLE-PLAGE;73;13/05/2023;04/05/2023;3
La Gare;;GROSPIERRES;296;27/06/2023;19/06/2023;3
rue port lestre;;DAMGAN;115;22/06/2023;13/06/2023;2
810 chemin du Petit Chaléat;;ECLASSAN;193;07/07/2021;28/06/2021;5
Route du champs de courses;;DONVILLE-LES-BAINS;154;10/11/2022;03/11/2022;5
route de Saint-Jean de Thurignieux;;AMBÉRIEUX-EN-DOMBES;79;06/03/2024;27/02/2024;2
3 rue de la pierre plate;;SAINT-GAULTIER;62;12/11/2022;02/11/2022;2
181 carraire n°1;;AUPS;273;03/07/2021;28/06/2021;5
Route De Palavas;;LATTES;222;11/10/2022;03/10/2022;2
50 avenue Grande Baie;;DOLUS-D'OLÉRON;248;18/07/2021;13/07/2021;4
Route de Kerlut;;PLOBANNALEC-LESCONIL;100;14/08/2022;05/08/2022;1
84 rue Georges Clémenceau;;JARD-SUR-MER;121;11/09/2021;03/09/2021;4
LE GRAND BOISSET;;ROUFFIGNAC-SAINT-CERNIN-DE-REILHAC;289;16/09/2020;09/09/2020;3
230 chemin de la guinguette;;SAINT-JEAN-DE-MARUÉJOLS-ET-AVÉJAN;197;24/05/2022;17/05/2022;5
1600 Chemin de Bédarieux;;LAURENS;184;27/12/2022;20/12/2022;5
Départementale 900;;LE BOULOU;141;02/04/2023;28/03/2023;2
3 route de la Plaine;;MASSILLARGUES-ATTUECH;227;21/10/2022;14/10/2022;1
112 route de Congenies;;JUNAS;205;15/11/2021;09/11/2021;5
2 allée du camping;;SAINT-PIERRE-COLAMINE;215;21/08/2022;16/08/2022;1
Le Petit Chaussy;;LAGORCE;227;29/09/2022;23/09/2022;1
785 route de Nyons;;LA MOTTE-CHALANCON;250;09/10/2023;29/09/2023;1
le bas paraire;;BARRÊME;183;29/06/2023;23/06/2023;4
Beauregard;;VILLEDÔMER;182;12/08/2023;03/08/2023;1
83 allée de Lanniron;;QUIMPER;201;29/09/2021;20/09/2021;2
avenue du puymorens;;LATOUR-DE-CAROL;287;02/07/2023;22/06/2023;5
Porto Pollo;;SERRA-DI-FERRO;170;24/09/2024;17/09/2024;3
18 route de Cannes;;OPIO;187;03/07/2022;28/06/2022;5
Domaine le Romegas;;BUIS-LES-BARONNIES;132;11/10/2020;02/10/2020;1
18 Place de Choisy;;SCIEZ;277;15/10/2023;09/10/2023;1
9 rue des sansonnets;;ROYAN;231;01/11/2022;26/10/2022;2
Le Marais Doux;;SAINT-PIERRE-D'OLÉRON;270;29/08/2022;23/08/2022;3
1 chemin de L'Auzonnet;;SAINT-JEAN-DE-VALÉRISCLE;63;01/07/2022;22/06/2022;4
259 route de Mimizan;;ONESSE-LAHARIE;96;17/12/2021;09/12/2021;3
Quartier la séoube;;CAMPAN;238;24/11/2022;17/11/2022;4
LES VIEILLES VENTES;;CHATEAUNEUF;104;14/08/2020;05/08/2020;3
Rue Corbel du Squirio;;BAUD;266;24/01/2022;17/01/2022;5
51 BIS GRANDE RUE;;LE MÉNIL;233;06/11/2023;27/10/2023;5
225 Route de la Bouverie;;LES MATHES;172;18/07/2020;08/07/2020;2
68 route du barrage;;VILLEREST;250;08/12/2022;28/11/2022;3
route de cala rossa;;PORTO-VECCHIO;108;29/10/2023;23/10/2023;5
1428 route des Freinets;;CHÂTEL;263;18/07/2021;13/07/2021;4
Commune de Sarroux;;BORT-LES-ORGUES;212;13/10/2021;05/10/2021;5
Beauregard;;SAINT-VINCENT-SUR-JARD;88;14/05/2022;04/05/2022;3
allée de Triniac;;PLEAUX;75;28/10/2022;18/10/2022;2
40/42 Le Chambon;;MONCEAUX-SUR-DORDOGNE;65;15/05/2022;10/05/2022;2
chemin de loire;;CHÂTILLON-SUR-LOIRE;184;04/07/2023;26/06/2023;1
13-15 route de Ker Rivaud;;LA BAULE-ESCOUBLAC;136;02/11/2022;26/10/2022;2
Chemin Départemental 37 les Gaillardels;;PORTIRAGNES;129;05/10/2021;29/09/2021;4
4 lieu dit La Barge;;CUNLHAT;128;01/10/2022;23/09/2022;2
Les gravières;;BANON;275;02/07/2020;24/06/2020;4
le Bourg;;MARCOLÈS;93;06/08/2022;28/07/2022;3
Camping l'Etang Blanc;;SEIGNOSSE;186;10/10/2023;02/10/2023;1
2564 Allée d'Ardy;;SAINT-PAUL-LÈS-DAX;222;12/12/2022;05/12/2022;5
Route de Chatenay;;LA TOMBE;204;01/10/2024;23/09/2024;5
790 route de laubanère;;LOUER;282;10/06/2023;05/06/2023;5
59 route de l'etang des bois;;VIEILLES-MAISONS-SUR-JOUDRY;64;20/12/2023;14/12/2023;5
4 rue Béthouart;;BELFORT;148;06/05/2023;27/04/2023;5
43 rue Cauticotte;;LA HAYE-DU-PUITS;163;26/09/2021;17/09/2021;5
121 chemin des étangs;;SAINT AYGULF;117;30/11/2022;25/11/2022;1
Route de Taxo à la Mer;;ARGELÈS-SUR-MER;280;24/05/2021;18/05/2021;5
88 rue du Pont Bleu;;SAINT-PAIR-SUR-MER;200;30/10/2022;20/10/2022;1
Lieu-dit la Pagesse;;SÉRIGNAN;283;25/10/2020;20/10/2020;3
Saint-Jean;;MONTCLAR;279;10/07/2022;05/07/2022;1
Hameau du honvault;;WIMEREUX;131;22/06/2023;13/06/2023;4
Route des Sables;;LANDEVIEILLE;174;16/06/2022;10/06/2022;2
Martignac;;PUY-L'ÉVÊQUE;202;15/06/2022;08/06/2022;3
rue des masures;;POSES;236;04/11/2022;28/10/2022;4
501 Boulevard Ernest Coudurier;;LE BOURGET-DU-LAC;204;04/10/2022;26/09/2022;4
102 route Saint Savinien;;LE MUNG;214;25/05/2022;17/05/2022;2
14 chemin de la rama;;SICCIEU-SAINT-JULIEN-ET-CARISIEU;270;09/10/2023;02/10/2023;3
Chemin des Bardonnières;;LA FLOTTE;100;05/05/2021;26/04/2021;1
194 boulevard Alsace Lorraine;;HYÈRES;111;03/10/2021;24/09/2021;3
6 allée des Marronniers;;BOULANCOURT;256;21/11/2021;15/11/2021;2
19 route de la Turballe;;SAINT-MOLF;104;30/06/2023;23/06/2023;1
16 chemin du camping;;CONDRIEU;149;27/05/2023;22/05/2023;1
Zone touristique de l'île du Rhin;;BIESHEIM;298;20/07/2024;15/07/2024;5
5 route de chaillé les marais;;LE LANGON;95;17/06/2023;12/06/2023;4
Boulevard du Communal;;L'AIGUILLON-SUR-MER;201;23/05/2024;16/05/2024;3
298 b route verte;;BARZAN;188;01/05/2022;21/04/2022;2
Chemin les Plaines Baronnes;;LA CIOTAT;251;24/07/2021;15/07/2021;3
Le Grand Vey;;SAINTE-MARIE-DU-MONT;240;13/10/2021;06/10/2021;2
ROUTE DE MARINA DI FIORI;;PORTO-VECCHIO;71;09/08/2023;03/08/2023;4
1 la mottaiserie;;CÉAUX;262;20/06/2024;12/06/2024;5
1056 chemin de Suvières;;PUGET-SUR-ARGENS;212;29/09/2021;20/09/2021;2
Route de Cahors;;VILLEFRANCHE-DU-PÉRIGORD;92;13/05/2022;05/05/2022;5
Chemin de la Plage;;MAZÈRES;287;27/09/2021;20/09/2021;4
Route d'Albiosc;;ESPARRON-DE-VERDON;261;15/05/2023;09/05/2023;1
161 boulevard du Maréchal de Lattre de Tassigny;;LA TRANCHE-SUR-MER;178;06/07/2022;30/06/2022;5
163 boulevard du Maréchal de Lattre de Tassigny;;LA TRANCHE-SUR-MER;77;06/10/2022;28/09/2022;4
LIEU DIT LES REMONDS;;SAINT-FÉLIX;184;27/05/2024;22/05/2024;3
1 quai de seine;;LA ROCHETTE;245;16/10/2023;10/10/2023;3
Lestrade;;REYGADE;159;15/08/2022;10/08/2022;1
Chemin des Prades;;AGUESSAC;151;28/09/2022;23/09/2022;3
27 route des Renouleaux;;BREUILLET;150;18/06/2022;13/06/2022;1
La Moulette;;MIALET;189;29/05/2023;23/05/2023;5
8 chemin de la bergerie;;AYZAC-OST;75;11/11/2022;04/11/2022;3
79 rue des chênes;;LANNE;228;03/08/2023;27/07/2023;4
l'Yvonnière;;LA CHAPELLE-ACHARD;79;13/10/2024;03/10/2024;1
4231 Route de Giens;;HYÈRES;285;27/11/2022;18/11/2022;5
19 chemin de la Bernède;;RENNES-LES-BAINS;234;27/11/2023;20/11/2023;2
Rue René Delcourt;;LE MESNIL-RÉAUME;193;03/12/2021;24/11/2021;1
Camping la Bexanelle;;VICDESSOS;199;16/06/2022;08/06/2022;2
640 chemin de la Grande Bissera;;POMMIER-DE-BEAUREPAIRE;111;02/11/2022;27/10/2022;2
le petit boissignan;;MUZILLAC;284;31/10/2022;26/10/2022;2
Route départementale 907 bis;;LES VIGNES;152;05/06/2022;30/05/2022;3
Route du Bouil;;SAINT-VINCENT-SUR-JARD;184;13/07/2021;08/07/2021;5
Lieu-dit les Essarts des Caillés;;LE BOIS-PLAGE-EN-RÉ;205;15/10/2021;07/10/2021;2
89 avenue de Charles de Gaulle;;SAINT-PALAIS-SUR-MER;186;29/07/2021;19/07/2021;5
16 quartier Caillogues;;CONDAT;182;07/08/2021;28/07/2021;4
640 route de la Boulinière;;SAINT-GEORGES-D'OLÉRON;234;02/07/2022;22/06/2022;3
Rue de La Bourgnatelle;;BRETENOUX;95;15/11/2022;09/11/2022;2
Quartier la Bourie;;HÈCHES;76;17/08/2023;07/08/2023;3
23 rue de la Plage de la Boutinardière;;PORNIC;124;13/10/2021;05/10/2021;3
Lieu-dit Caudon;;VITRAC;219;17/05/2022;10/05/2022;1
chemin de la Bradière, lieu-dit la Chauvineau;;SAVENNIÈRES;66;12/06/2023;05/06/2023;5
Route des Huîtres;;LE CHÂTEAU-D'OLÉRON;216;26/09/2024;19/09/2024;2
3 rue bremendell;;STURZELBRONN;147;29/05/2024;21/05/2024;2
