Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
LIVAROT-PAYS-D'AUGE;FERVAQUES : Un patrimoine sauvegardé - 14KM;5;15;"Balisage jaune - Départ de l'église

Petit bourg à l'architecture préservée, la commune de Feravques est baignée par la Touques. Les eaux miraculeuses de la source de la Croupte s'y jettent pour y apporter tous les bienfaits.

Circuit labellisé Qualité Calvados";00:22:19;APRES-MIDI
SAINT-MARTIN-DE-LANSUSCLE;Castelviel;1;19;Ce sentier de crête offre des panoramas d’exception sur la vallée de Trabassac, la corniche des Cévennes et le mont Aigoual. Un lieu singulier où histoire et paysages se confondent !;03:27:28;MATIN
LONGCHAUMOIS;Sentiers Libres - Rémi Basmaji;2;10;Une envie d’aventure hors des sentiers battus, osez ! Rémi Basmaji, Sentiers libres, vous guidera sur les chemins de l'aventure en toutes saisons.;04:14:40;APRES-MIDI
LONGCHAUMOIS;Sentiers Libres - Rémi Basmaji;1;10;Une envie d’aventure hors des sentiers battus, osez ! Rémi Basmaji, Sentiers libres, vous guidera sur les chemins de l'aventure en toutes saisons.;00:06:00;APRES-MIDI
SAINT AULAYE-PUYMANGOU;Boucle de la Dronne;3;11;Depuis son promontoire rocheux, la commune de Saint-Aulaye domine la vallée de la Dronne et la forêt de la Double. Elle conserve le charme d’un village médiéval grâce à une partie de ses fortifications et ses ruelles étroites.;04:25:46;MATIN
SAINT AULAYE-PUYMANGOU;Boucle de la Dronne;4;17;Depuis son promontoire rocheux, la commune de Saint-Aulaye domine la vallée de la Dronne et la forêt de la Double. Elle conserve le charme d’un village médiéval grâce à une partie de ses fortifications et ses ruelles étroites.;02:52:12;APRES-MIDI
ABRESCHVILLER;Circuit Saint-Léon;1;10;Cet agréable circuit démarre d'Abreschviller puis rejoint le col de Saint Léon par des chemins forestiers pour retourner par une petite descente technique vers le point de départ.;01:55:38;APRES-MIDI
ABRESCHVILLER;Circuit des roches;3;20;"Ce circuit est une aubaine pour le vététiste qui recherche beauté des paysages, parcours techniques et découverte d'une nature généreuse. Les points de vue à partir du sommet du Peugstein vers le rocher de Dabo, le massif du Donon et la vallée de la Sarre sont exceptionnels.
Attention ce circuit est plutôt réservé à des pratiquants confirmés!";00:22:51;SOIR
FONTENAY;N° 4 - BOUCLE DE FONTENAY;2;15;Une balade à faire en famille au départ de Fontenay. Vous découvrez le village et la forêt qui le borde.;04:46:54;APRES-MIDI
FONTENAY;N° 5 - CIRCUIT DU CHALET BOUCHER;4;20;Une balade au départ de Fontenay. Vous découvrez le village et la forêt qui le borde.;01:37:16;APRES-MIDI
MORLAÀS;Morlaàs, chemin des crêtes;5;15;Quel plaisir de s'élever au-dessus de Morlaàs sur ce parcours vallonné !  Quitter l'agitation et se retrouver rapidement au calme sur les hauteurs est un grand privilège. La vue sur Pau est sans commune mesure depuis ce sentier.;00:27:29;APRES-MIDI
MORLAÀS;Morlaàs, chemin des crêtes;1;19;Quel plaisir de s'élever au-dessus de Morlaàs sur ce parcours vallonné !  Quitter l'agitation et se retrouver rapidement au calme sur les hauteurs est un grand privilège. La vue sur Pau est sans commune mesure depuis ce sentier.;02:45:31;SOIR
MORLAÀS;Morlaàs, chemin des crêtes;4;20;Quel plaisir de s'élever au-dessus de Morlaàs sur ce parcours vallonné !  Quitter l'agitation et se retrouver rapidement au calme sur les hauteurs est un grand privilège. La vue sur Pau est sans commune mesure depuis ce sentier.;01:58:29;SOIR
MORLAÀS;Morlaàs, chemin des crêtes;5;20;Quel plaisir de s'élever au-dessus de Morlaàs sur ce parcours vallonné !  Quitter l'agitation et se retrouver rapidement au calme sur les hauteurs est un grand privilège. La vue sur Pau est sans commune mesure depuis ce sentier.;02:07:33;APRES-MIDI
SEYSSEL;Randonnée VAE : Bourgs de Seyssel;6;17;"Haut-Rhône Tourisme vous propose de découvrir Seyssel à travers cette balade pédestre géo-guidée.

Cet itinéraire est idéal pour découvrir les deux bourgs de Seyssel (Ain et Haute-Savoie), leur patrimoine naturel et culturel.";01:24:35;APRES-MIDI
LA CHAPELLE-D'ABONDANCE;Parcours thématique : Sapicéa;5;12;Suivez le personnage de Sapicéa, imaginé par les écoliers Chapellans et apprenez à connaître le milieu forestier et les paysages environnants.;02:33:30;APRES-MIDI
BOUST;Circuit pédestre de Boust;1;16;Des étangs du Weiherchen, vous traverserez les époques en passant près de l'église moderne Saint Maximin, puis de la Tour Usselskirch, tour hexagonale du XIème siècle et classé Monument Historique. Après un passage par la Carrière de Boust, site géologique remarquable, vous longerez la voie romaine qui conduisait de Metz à Trêves. Vous découvrirez également le petit patrimoine de Boust avec ses bildstocks et sa Grange-Eglise, grange communale construite sous l'occupation, prévue pour être transformée en église ainsi que l'Observatoire de Boust,ouvrage de la Ligne Maginot.;04:14:33;MATIN
DABO;Circuit du rocher;4;15;"Le circuit du Rocher est un itinéraire pédestre de découverte du patrimoine naturel et culturel de Dabo agrémenté de panneaux explicatifs sur les traditions locales, la faune, la flore...


Vous pouvez suivre le balisage depuis le centre du village de Dabo au départ de l'Office de Tourisme ou depuis le Rocher.";01:01:19;MATIN
RAMONCHAMP;L'ETANG NOIR;4;12;Lieux d’intérêt touristique : Plateau des 1000 Etangs, belvédère de l’Etang Noir. Départ : parking de l’église de Ramonchamp. Accès : En venant de Le Thillot, emprunter la route nationale 66 en direction d’Epinal. Le premier village traversé s’appelle Ramonchamp. Il faut prendre la route sur la gauche après la boulangerie, au croisement de la pharmacie, pour rejoindre le centre du bourg et l’église. Descriptif du parcours : Suivre le sentier marqué de l’anneau bleu : il traverse une piste cyclable dénommée « Voie Verte des Hautes Vosges » puis longe une filature avant de s’engager sur la droite au milieu des cités ouvrières. Il monte à travers une prairie avant de rejoindre une route goudronnée qu’il faut emprunter sur la droite. Après 80 mètres sur cette route, vous arrivez au départ de la boucle. Il faut poursuivre sur la route goudronnée balisage anneau bleu. L’itinéraire passe à proximité d’une chapelle qui veille sur le village avant de rejoindre une route goudronnée qu’il faut emprunter en montée sur la gauche. Arrivée aux dernières maisons, la route se termine et laisse la place à un sentier qui monte en zigzags jusqu’au carrefour de Grammont (altitude : 675 mètres). De là, continuer sur le large chemin forestier sur la droite pendant environ 1 kilomètre puis bifurquer sur la gauche pour marcher sur un charmant petit sentier à flanc de montagne. Ce sentier traverse une passerelle en bois au niveau du site pittoresque de la cascade du Noir Étang avant de rejoindre un peu plus haut l’Étang Noir (altitude : 750 mètres). Ce site est propice à une pause bien méritée d’autant plus qu’il est équipé d’une table de pique-nique. Poursuivre en direction d’un belvédère qui se trouve au bout de l’étang et surplombe la cascade croisée lors de la montée. Le panorama permet d’embrasser du regard toute la commune de Ramonchamp posée dans son écrin de verdure avec en toile de fond les Ballons des Hautes Vosges et même la Route des Crêtes. Du belvédère, suivre toujours l’anneau bleu. Cette portion de la balade fait partie du Sentier des Étangs qui vous amène après 1 kilomètre au lieu-dit « les Noirs Étangs ». De cet endroit, il faut quitter le Sentier des Étangs qui chemine tout droit pour s’engager sur le sentier de gauche balisé anneau bleu également. Il redescend au carrefour de Grammont traversé à l’aller. Pour le retour, il faut poursuivre sur le 2ème sentier sur la gauche (pas celui emprunté lors de la montée à l’aller). Ce sentier croise successivement le chalet de Grammont, un rocher remarquable puis une  grotte avant de rejoindre une petite route de montagne qu’il faut tout de suite quitter pour s’engager à gauche sur le sentier qui redescend vers le village. Il rejoint l’intersection du départ de la boucle. Il faut donc prendre la route sur la droite et faire le même trajet qu’à l’aller via les cités ouvrières et la filature pour rejoindre l’église.  Balisage : anneau bleu.;00:48:33;APRES-MIDI
GROSBLIEDERSTROFF;Parcours botanique et de santé;4;16;Situé en forêt, ce circuit rassemble près de 68 essences différentes de la région. Le promeneur peut se détendre sur les nombreux bancs installés sur le parcours. Les sportifs quant à eux peuvent s’adonner à des exercices physiques grâce aux ateliers …;00:51:41;MATIN
GROSBLIEDERSTROFF;Parcours botanique et de santé;6;13;Situé en forêt, ce circuit rassemble près de 68 essences différentes de la région. Le promeneur peut se détendre sur les nombreux bancs installés sur le parcours. Les sportifs quant à eux peuvent s’adonner à des exercices physiques grâce aux ateliers …;04:16:29;APRES-MIDI
SAINT-MIHIEL;PROMENADE DES CAPUCINS;6;13;On y accède par de nombreux escaliers et chemins, la Promenade des Capucins offre ses longues allées bordées d’arbres aux promeneurs, la ville se déroule alors sous leurs pieds, depuis le quartier ancien de la cité jusqu'à la ville moderne. Son nom vient de l’ancien monastère construit au XVIIème siècle par les Capucins, appelés à Saint-Mihiel pour contrebalancer les effets de la réforme. Du monastère il ne reste que quelques bancs de pierres, de vieux murs, mais tout le mysticisme des lieux.;03:22:23;SOIR
SARREGUEMINES;Réserve naturelle site du golf;2;20;"Dépaysement total garanti !

Le site protégé de Rouhling-Sarreguemines ressemble fort à s’y méprendre au Canada. Sous nos yeux la faune et la flore foisonne sur 11 hectares.
Le golf a été aménagé autour de ce site protégé. Coteaux marneux, pelouse mésophile et fond humide boisé traversé par un ruisseau sont gérés par le Conservatoire d’espaces naturels de Lorraine.

Plusieurs espèces remarquables ont trouvé refuge sur le site. Pie-Grièche grise, Tarier des près et Tarier pâtre, Martin-pêcheur… On y compte pas moins de 69 espèces d’oiseaux !
Pour complété ce petit écosystème, 88 espèces d’insectes peuplent les 14 types de milieux naturels qui composent le site. On dénombre également cinq espèces d’amphibiens dont le Triton crêté.

La flore n’est pas en reste, 246 espèces végétales y ont élu domicile. La Scabieuse des prés, espèce protégée en Lorraine, colore cet espace avec ses beaux accents mauves.

Enfilez vos chaussures de marche et partez à la découverte de cet écrin de nature !";00:17:48;MATIN
SARREGUEMINES;Réserve naturelle site du golf;6;15;"Dépaysement total garanti !

Le site protégé de Rouhling-Sarreguemines ressemble fort à s’y méprendre au Canada. Sous nos yeux la faune et la flore foisonne sur 11 hectares.
Le golf a été aménagé autour de ce site protégé. Coteaux marneux, pelouse mésophile et fond humide boisé traversé par un ruisseau sont gérés par le Conservatoire d’espaces naturels de Lorraine.

Plusieurs espèces remarquables ont trouvé refuge sur le site. Pie-Grièche grise, Tarier des près et Tarier pâtre, Martin-pêcheur… On y compte pas moins de 69 espèces d’oiseaux !
Pour complété ce petit écosystème, 88 espèces d’insectes peuplent les 14 types de milieux naturels qui composent le site. On dénombre également cinq espèces d’amphibiens dont le Triton crêté.

La flore n’est pas en reste, 246 espèces végétales y ont élu domicile. La Scabieuse des prés, espèce protégée en Lorraine, colore cet espace avec ses beaux accents mauves.

Enfilez vos chaussures de marche et partez à la découverte de cet écrin de nature !";00:33:52;SOIR
METZ;LE P'TIT TRAIN DE METZ;4;18;"Le P'tit train de Metz.
Retrouvez le p'tit train, commentaires en français, allemand, anglais, néerlandais, italien, espagnol, luxembourgeois, japonais, chinois et russe.  Départ place d'Armes J.F. Blondel à Metz.

Tarifs individuels et groupes sur le site internet. Formule pour les familles. 
Billets en vente à l'accueil de l'agence Inspire Metz - Office de Tourisme, en ligne et auprès du chauffeur.";01:26:35;APRES-MIDI
LE GRAND-BORNAND;Sentier découverte du milieu montagnard;5;11;Au départ du Grand-Bornand Chinaillon, circuit de 2h30 tracé en boucle, le long duquel des panneaux informatifs permettent aux promeneurs de mieux appréhender les différents aspects de la montagne : faune, flore, habitat, géologie...;03:41:56;MATIN
SAINT-CYR-AU-MONT-D'OR;Le Sentier des Rapaces;3;13;Du Mont Cindre (469 m), 3e sommet de la Communauté urbaine (après les Mont Verdun 625 m et Mont Thou 609 m), le sentier des Rapaces vous offre des points de vue sur les falaises ocres des Monts d’Or, le Val de Saône, la Dombes ou  les Monts du Lyonnais.;02:56:53;MATIN
LE GRAND-BORNAND;Sentier de la forêt;4;16;Un sentier thématique agrémenté de sculptures sur bois donnant des informations sur les spécificités de la forêt de montagne. Depuis la table d'orientation, profitez de la vue à 180° sur le village, la chaîne des Aravis et le massif de la Tournette.;04:58:34;APRES-MIDI
GRÉZIEU-LA-VARENNE;Circuit Randoland Grézieu-la-Varenne;3;15;Jeu de piste alliant découverte du patrimoine de la commune et promenade en nature. Motiver les enfants à la marche n'est pas toujours chose aisée, avec ce nouveau jeu de piste, vos enfants en redemanderont !;00:47:52;APRES-MIDI
AVRIEUX;La voie de l'eau;1;16;Sentier familial en boucle pour découvrir une richesse patrimoniale cachée : l'eau et ses utilisations;03:04:00;SOIR
VILLEFRANCHE-SUR-SAÔNE;Route des vins du Beaujolais;4;13;Evadez-vous et prenez votre temps sur la Route des Vins du Beaujolais et laissez-vous charmer par les doux paysages dessinés par les vignes, les demeures et châteaux, les villages et les pierres dorées.;03:40:38;MATIN
PRALOGNAN-LA-VANOISE;Promenade Savoyarde de découverte  des Prioux (PSD) - Sentier pédestre;2;17;Aux portes du Parc national de la Vanoise, la vallée de Chavière dévoile sa richesse au fil d'un sentier insolite.;03:58:27;SOIR
PRALOGNAN-LA-VANOISE;Le Petit Mont Blanc - Randonnée pédestre en boucle;2;14;À défaut de faire le grand, partez à la conquête du Petit Mont Blanc, qui n’a de petit que le nom !;00:46:44;APRES-MIDI
VIRICELLES;Sentier botanique;1;11;Découvrez les plantes et arbres qui constituent la flore de notre région. Des épouvantails placés sur le sentier vous accompagneront tout au long de votre balade.;00:24:33;MATIN
CHÂTEL;Sentier pédestre de l'Eterlou;6;19;Sentier ludique et pédagogique avec pour thème l'environnement, la faune et la flore des montagnes (habitat, habitudes, comportements, risques...).;02:29:26;MATIN
FRÉJUS;Randonneurs Est Varois Fréjus / Saint-Raphaël;2;14;"Découverte nature dans le Massif de l’Estérel.
Randonnées dans le Var et les Alpes-Maritimes.";01:36:12;MATIN
MORET-LOING-ET-ORVANNE;Parcours Alfred Sisley;4;19;Découvrez les paysages peints par Sisley !;00:34:42;MATIN
MOLSHEIM;Randonnée Sur le Chemin des Chartreux;1;20;Ancien sentier de pélerinage vers le vignoble du Bruderthal  jadis exploité par les moines de la Chartreuse située au centre-ville de Molsheim. Sur le parcours sont installés différentes croix.;04:56:24;APRES-MIDI
MOLSHEIM;Parcours Détours religieux;4;13;;04:34:48;SOIR
NIEDERBRONN-LES-BAINS;Circuit de randonnée vers le plan d'eau;4;18;Partez à la découverte des Vosges du Nord entre lieux de mémoire et nature d'exception.;02:59:22;APRES-MIDI
NIEDERBRONN-LES-BAINS;Circuit de randonnée de la piscine au plan d'eau;3;16;Une randonnée instructive qui vous mènera au cimetière militaire allemand de Niederbronn-les-Bains, où reposent 15 809 soldats, puis aux abords du bucolique plan d'eau de Reichshoffen, classé Réserve Naturelle Régionale. Pour les amateurs d'ornithologie, un observatoire est à votre disposition au plan d'eau de Reichshoffen. Egalement sur place, aires de pique-nique et parcours de santé.;04:19:48;MATIN
ITTERSWILLER;Escale à Itterswiller : vignoble et belvédère;4;12;Parcours à travers les rues du village et ses vignes. Laissez vous guider par les divers panneaux ...;03:39:26;APRES-MIDI
ITTERSWILLER;Escale à Itterswiller : circuit loisir;6;12;Parcours à travers les rues du village et ses vignes. Laissez vous guider par les divers panneaux ...;02:44:13;SOIR
ORBEY;Circuit rando - le tour des 3 lacs;1;15;"Belles balade autour de 3 lacs de montagne. Possibilité de restauration sur le circuit.
Document ""Idées de randonnées"" comprenant 8 sentiers et 4 randonnées en vente 2 € dans les bureaux d'accueil de l'Office de Tourisme.";04:01:13;SOIR
ORBEY;Circuit rando - le tour du lac Blanc;6;18;Distance: 5,5 km, Durée: 2h30, Dénivelé: +352m Niveau confirmé. Ne pas emprunter lorsque le sentier est enneigé.;01:04:53;SOIR
ORBEY;Circuit rando - le tour des 4 lacs;6;17;Balade sportive de 17,5 kilomètres sur les crêtes, surplombant 4 lacs.;02:19:30;MATIN
ORBEY;Circuit rando - la cascade du Rudlin  par le Gazon du Faing;2;19;Distance 14,5km, dénivelé +815m, niveau moyen;00:00:03;MATIN
ORBEY;Circuit rando - le tour des Immerlins;3;14;Sentier facile vous permettant de découvrir le patrimoine historique et naturel des Immerlins.;02:42:53;SOIR
ORBEY;Circuit rando - la crête du lac Blanc;3;11;Une balade facile pour contempler les crêtes vosgiennes et leur panorama unique.;03:11:36;MATIN
ORBEY;Circuit rando - Massif de la Tête des Faux;5;10;Sentier qui allie patrimoine historique et naturel;04:28:53;MATIN
ORBEY;Circuit rando - la cascade du Rudlin et les sources des lacs;3;12;Une randonnée rythmée par l'eau sous toutes ses formes.;04:07:23;MATIN
ORBEY;Circuit poussette - Lac Blanc Les Immerlins;4;12;Circuit poussette 4X4, panorama sur la vallée, ombragé.;02:47:28;MATIN
ORBEY;Circuit rando - les sources des lacs;4;16;;03:15:28;APRES-MIDI
ORBEY;Circuit rando - le tour des lacs Noir et Blanc;6;10;;00:57:07;APRES-MIDI
ORBEY;Itinérance - du lac Blanc au Grand Ballon (GR5);4;17;;03:24:47;MATIN
ORBEY;Circuit rando - la balade du bikepark;5;20;;03:38:04;APRES-MIDI
ORBEY;Circuit rando - le petit tour du lac Blanc;3;11;;04:28:30;MATIN
ORBEY;Circuit rando - La Tête des Faux;3;18;;01:46:44;APRES-MIDI
MUTZIG;Circuit de ville A la découverte des richesses de Mutzig;5;17;Parcours dans le centre historique de Mutzig;02:15:01;SOIR
BARR;Le point de vue du Zimmerberg;2;10;Ce circuit à travers les vignes offre de très belles vues sur la ville de Barr, les montagnes environnantes et la plaine d’Alsace. Le Grand Cru Kirchberg offre un vin de très bonne garde, qui développe avec le temps un corps impressionnant, un fruité délicat et des arômes épicés.;02:19:16;APRES-MIDI
BARR;Randonnée vers le château du Landsberg;6;10;L'accès au Château depuis la cité viticole de Barr se fait à travers le vignoble du Kirchberg. Vous profiterez de beaux points de vue sur la ville. La forteresse est en accès libre toute l'année.;01:40:37;APRES-MIDI
BARR;A travers le vignoble du kirchberg;6;19;Circuit à travers les vignes pour découvrir le Grand Cru Kirchberg, au retour n’hésitez pas à pousser la porte d'un vigneron pour un dégustation.;03:16:05;MATIN
BARR;Suivre la véloroute du vignoble/EV5 au Pays de Barr;3;12;Sur la véloroute du vignoble, traversez un paysage de carte postale : villages fleuris, vignes ondulantes, winstubs accueillantes...;01:54:12;MATIN
BARR;A la découverte du Mont Ste Odile;1;13;"Randonnée vers un site remarquable sur le plan architectural, naturel et spirituel.
Vous découvrez également l’énigmatique Mur Païen et l’élégant châteaux Landsberg.";04:22:49;MATIN
BARR;Parcs et jardins;5;11;Découvrez à vélo les parcs et jardins remarquables de la Terre de Sainte-Odile lors d’un parcours autour de Barr, Obernai et Rosheim à travers le vignoble, la forêt et la plaine.;03:22:01;SOIR
BARR;Klevener et Pain d'Epices;2;15;Une balade pleine de charme entre nature, patrimoine et gourmandise ! Traversez vignes, villes et villages à la découverte des vins et spécialités gastronomiques de la région.;01:36:43;SOIR
BARR;Boucle autour des parcs et jardins;5;11;Découvrez à vélo les parcs et jardins remarquables de la Terre de Sainte-Odile lors d’un parcours autour de Barr, Obernai et Rosheim à travers le vignoble, la forêt et la plaine.;03:33:52;APRES-MIDI
BARR;Circuit Croq'Vélo;4;14;Découvrez les spécialités culinaires du Pays de Barr en suivant cette boucle à travers villages typiques et paysages à couper le souffle. Départs possibles depuis les bureaux de l'Office de Tourisme de Barr et de Dambach-la-Ville.;04:27:37;SOIR
BARR;Barr-Mont Sainte-Odile;6;15;"Découvrez à vélo un site emblématique d’Alsace au départ de Barr.
Admirez, sur d’importants tronçons, des paysages extrêmement variés : de mystérieuses forêts, le majestueux vignoble du Grand Cru du Kirchberg et d’étonnants vergers cachés.";02:15:18;SOIR
BARR;Circuit des Grands Crus;6;17;Découvrez les terroirs des 8 Grands Crus du Pays de Barr en suivant cette boucle à travers villages typiques et paysages à couper le souflle. Circuit idéal à faire en vélo à assistance électrique.;03:33:56;APRES-MIDI
ALTKIRCH;Randonnée pédestre sur les Hauteurs d'Altkirch;2;15;Très beau panorama sur les hauteurs d'Altkirch;00:47:18;SOIR
WUENHEIM;Circuit de randonnée: Le vallon du Col Amic;4;11;Plusieurs éléments de patrimoine (croix, chapelle, ruines de château…) sont à découvrir sur cette randonnée.;00:19:12;SOIR
PRÉVENCHÈRES;Alzons;5;14;Dans cette partie, la plus méridionale du Gévaudan, les chemins sont ouverts et dégagés, foulés autrefois par les nombreux troupeaux ovins.;01:10:45;APRES-MIDI
LA MALÈNE;Oiseaux des causses et des gorges;6;14;La balade conduit sur les traces de quelques espèces d’oiseaux illustrant la biodiversité des Grands Causses. Un sentier à voir et à écouter… Chut !;02:19:25;APRES-MIDI
HURES-LA-PARADE;AUTOUR DE HURES (COTATION ROUGE);2;15;Cet itinéraire sillonne la partie nue du causse Méjean, et croise l'enclos des chevaux de Przewalski. Un paysage de lande et de pelouse.;03:40:48;MATIN
MOLEZON;La tour du Canourgue;1;12;Le sentier chemine sur les traces des seigneurs de la tour du Canourgue, traversant les vestiges d'un ancien village fortifié dans lequel se mêlent histoire et architecture.;02:48:29;SOIR
SAINT-ÉTIENNE-DU-VALDONNEZ;Balade au pays des menhirs;1;19;Une promenade à la découverte du mégalithisme, l'un des phénomènes les plus mystérieux de la fin du néolithique.;04:19:45;MATIN
MARCIGNY;A travers vignes et champs;5;11;"Au départ de Marcigny, vous pourrez découvrir à travers cette balade de belles églises romanes, l'un des plus beaux villages de France ""Semur-en-Brionnais"", des paysages de vignobles en traversant la commune de Mailly.";03:23:45;SOIR
MARCIGNY;Au fil du ruisseau;2;20;Au départ de Marcigny, cette balade vous emmènera vers l'un des plus beaux villages de France, à Semur-en-Brionnais, vous  découvrirez sur place : sa Collégiale romane et son Château médiéval (le plus ancien de Bourgogne du Sud).;00:18:46;MATIN
MARCIGNY;Entre Monts et Vallées;1;20;Au départ de Marcigny, vous monterez au village de Sarry puis Briant et vous descendrez vers la commune de Sainte-Foy. Une balade à travers bois et bocage.;01:36:11;SOIR
HAUTS DE BIENNE;Les Préhez;3;17;Au fur et à mesure de la balade, vous pourrez admirer les paysages ouverts sur de grandes étendues, typiquement haut-jurassiens. En chemin, remarquez les fermes jurassiennes et les puits ou citernes.;01:17:48;APRES-MIDI
HAUTS DE BIENNE;Les Préhez;1;12;Au fur et à mesure de la balade, vous pourrez admirer les paysages ouverts sur de grandes étendues, typiquement haut-jurassiens. En chemin, remarquez les fermes jurassiennes et les puits ou citernes.;03:32:25;SOIR
HAUTS DE BIENNE;Tour des Préhez;6;20;Au fur et à mesure de l'itinéraire, vous pourrez admirer les paysages ouverts sur de grandes étendues, typiquement haut-jurassiens. En chemin, remarquez les fermes jurassiennes et les puits ou citernes.    Point d'intérêt à proximité      La Fromagerie de Morbier-Grande -Rivière (route royale)   La plaine des Marais et le site du Glacier, réputés pour leurs pistes de ski de fond l’hiver   Station de ski alpin familiale Les Gentianes   Ludy Park VTT (à coté du stade des Marais)    Départ : Sta;02:55:26;MATIN
HAUTS DE BIENNE;Tour des Préhez;4;19;Au fur et à mesure de l'itinéraire, vous pourrez admirer les paysages ouverts sur de grandes étendues, typiquement haut-jurassiens. En chemin, remarquez les fermes jurassiennes et les puits ou citernes.    Point d'intérêt à proximité      La Fromagerie de Morbier-Grande -Rivière (route royale)   La plaine des Marais et le site du Glacier, réputés pour leurs pistes de ski de fond l’hiver   Station de ski alpin familiale Les Gentianes   Ludy Park VTT (à coté du stade des Marais)    Départ : Sta;00:55:17;MATIN
HAUTS DE BIENNE;La Savine - VTT - n°55;2;19;Cet itinéraire vous permettra de découvrir les paysages forestiers, typiquement haut-jurassiens.   Point d'intérêt :   La Fromagerie de Morbier-Grande -Rivière (route royale) La plaine des Marais et le site du Glacier, réputés pour leurs pistes de ski de fond l’hiver Station de ski alpin familiale Les Gentianes Ludy Park VTT (à coté du stade des Marais);03:14:10;SOIR
HAUTS DE BIENNE;La Savine - VTT - n°55;3;18;Cet itinéraire vous permettra de découvrir les paysages forestiers, typiquement haut-jurassiens.   Point d'intérêt :   La Fromagerie de Morbier-Grande -Rivière (route royale) La plaine des Marais et le site du Glacier, réputés pour leurs pistes de ski de fond l’hiver Station de ski alpin familiale Les Gentianes Ludy Park VTT (à coté du stade des Marais);00:52:05;APRES-MIDI
HAUTS DE BIENNE;Les Gentianes - VTT- n°111;1;14;Un itinéraire facile où vous pourrez admirer les paysages ouverts sur de grandes étendues, typiquement haut-jurassiens.       Point d'intérêt à proximité      La Fromagerie de Morbier-Grande -Rivière (route royale)   La plaine des Marais et le site du Glacier sont réputés pour leurs pistes de ski de fond l’hiver   Station de ski alpin familiale Les Gentianes   Ludy Park VTT (à coté du stade des Marais)     Départ : Stade des Marais - Les Marais - 37 route des Préhez - 39 400 MORBIER;03:50:41;APRES-MIDI
HAUTS DE BIENNE;Les Gentianes - VTT- n°111;1;13;Un itinéraire facile où vous pourrez admirer les paysages ouverts sur de grandes étendues, typiquement haut-jurassiens.       Point d'intérêt à proximité      La Fromagerie de Morbier-Grande -Rivière (route royale)   La plaine des Marais et le site du Glacier sont réputés pour leurs pistes de ski de fond l’hiver   Station de ski alpin familiale Les Gentianes   Ludy Park VTT (à coté du stade des Marais)     Départ : Stade des Marais - Les Marais - 37 route des Préhez - 39 400 MORBIER;03:58:30;MATIN
HAUTS DE BIENNE;La Crête - VTT- n°54;4;20;Cet itinéraire vous permettra d' admirer les paysages forestiers et ceux ouverts sur de grandes étendues, typiquement haut-jurassiens.    Point d'intérêt à proximité  La Fromagerie de Morbier-Grande -Rivière (route royale)  La plaine des Marais et le site du Glacier sont réputés pour leurs pistes de ski de fond l’hiver  Station de ski alpin familiale Les Gentianes  Ludy Park VTT (à coté du stade des Marais)  La Roche Devant  Les 3 Commères;04:49:44;APRES-MIDI
HAUTS DE BIENNE;La Crête - VTT- n°54;2;10;Cet itinéraire vous permettra d' admirer les paysages forestiers et ceux ouverts sur de grandes étendues, typiquement haut-jurassiens.    Point d'intérêt à proximité  La Fromagerie de Morbier-Grande -Rivière (route royale)  La plaine des Marais et le site du Glacier sont réputés pour leurs pistes de ski de fond l’hiver  Station de ski alpin familiale Les Gentianes  Ludy Park VTT (à coté du stade des Marais)  La Roche Devant  Les 3 Commères;02:56:58;MATIN
HAUTS DE BIENNE;La Pierre Percée;5;10;;03:57:42;MATIN
HAUTS DE BIENNE;La Pierre Percée;2;14;;02:07:17;SOIR
TRAMAYES;La Mère Boitier;2;16;"e circuit est jalonné de croix en pierre sculptée, dont certaines réalisées par J.B. Duport qui inspira à Lamartine le personnage de son roman ""Le tailleur de pierre de Saint-Point"". Il offre de beaux points de vue sur la vallée de la Grosne, les monts du Charolais et du Beaujolais. Il permet de découvrir deux bourgades, Tramayes et Saint- Point ainsi que leurs nombreux hameaux aux habitations d'architecture mâconnaise typique.";01:40:02;SOIR
DOMPIERRE-LES-ORMES;La balade des rhododendrons - DL03;5;12;Traversée du bourg de Dompierre, vous pourrez admirer l’église récemment ravalée puis vous descendrez sur la gare, ancienne voie ferrée puis sur l’arborétum de Pézanin. Après avoir longé l’étang où la pêche est pratiquée en « no kill » (poisson remis à l’eau), vous remonterez sur le hameau de Frouges (château, fromages de chèvres), puis par Bois du Lin.;01:58:11;MATIN
DOMPIERRE-LES-ORMES;Entre Audour et col de Rôvres - DL04;4;11;Situé à la croisée des chemins Charolais et Mâconnais, Dompierre les Ormes un village rural et touristique équipé de nombreux services et commerces, qui a su préserver sa qualité de vie.;04:20:04;APRES-MIDI
DOMPIERRE-LES-ORMES;Contrefort du Charollais - DL02;2;16;Situé à la croisée des chemins Charolais et Mâconnais, Dompierre-les-Ormes un village rural et touristique équipé de nombreux services et commerces, qui a su préserver sa qualité de vie.;00:30:40;MATIN
UFFHOLTZ;Circuit : Le versant Sud du Molkenrain;6;17;Découvrez le panorama aux alentours du Molkenrain à travers chaumes et forêts.;01:56:10;SOIR
